simple_annotation	CLASS	Sample	scan
AD043	ADENO	AD043T2_A7_1	CL2001032638AA
AD1	ADENO	ADA1T1_A383_7	CL2001042506AA
AD10	ADENO	ADA10T1_A389_7	CL2001032716AA
AD111	ADENO	AD111T2_A8_1	CL2001032233AA
AD114	ADENO	AD114T1_A9_1	CL2001032603AA
AD114	ADENO	AD114T2_A10_1	CL2001032019AA
AD115	ADENO	AD115T1_A12_1	CL2001032624AA
AD115	ADENO	AD115T2_A245_10	CL2001032107AA
AD118	ADENO	AD118T1_A13_1	CL2001032020AA
AD119	ADENO	AD119T3_A195_8	CL2001032845AA
AD120	ADENO	AD120T1_A226_8	CL2001032739AA
AD120	ADENO	AD120T2_A196_8	CL2001032730AA
AD122	ADENO	AD122T3_A197_8	CL2001032856AA
AD123	ADENO	AD123T1_A25_1	CL2001032643AA
AD123	ADENO	AD123T2_A198_8	CL2001042502AA
AD127	ADENO	AD127T1_A14_1	CL2001032241AA
AD130	ADENO	AD130T1_A1_1	CL2001032232AA
AD131	ADENO	AD131T1_A15_1	CL2001031622AA
AD131	ADENO	AD131T1_A200_8	CL2001032731AA
AD136	ADENO	AD136T2_A201_8	CL2001032729AA
AD15	ADENO	ADA15T1_A390_7	CL2001032306AA
AD157	ADENO	AD157T1_A246_10	CL2001032250AA
AD157	ADENO	AD157T2_A26_1	CL2001032242AA
AD158	ADENO	AD158T1_A247_10	CL2001031630AA
AD158	ADENO	AD158T2_A17_1	CL2001032235AA
AD159	ADENO	AD159T1_A229_8	CL2001032839AA
AD16	ADENO	ADA16T2_A391_7	CL2001032149AA
AD162	ADENO	AD162T2_A230_8	CL2001032702AA
AD163	ADENO	AD163T1_A203_8	CL2001041714AA
AD163	ADENO	AD163T3_A205_8	CL2001032833AA
AD164	ADENO	AD164T1a_A206_8	CL2001032703AA
AD164	ADENO	AD164T2_A208_8	CL2001032736AA
AD167	ADENO	AD167T1_A210_8	CL2001032841AA
AD167	ADENO	AD167T2_A249_10	CL2001032858AA
AD169	ADENO	AD169T2_A211_8	CL2001032735AA
AD169	ADENO	AD169T3_A250_10	CL2001032701AA
AD170	ADENO	AD170T1_A251_10	CL2001032640AA
